Timestamp,Why did you choose to use Phalcon (main reason but also expand please)?,Do you use Phalcon in production?,Comments for the team (optional),Do you use Phalcon in production? (elaborate),Github username (optional),Do you use Phalcon in production?
3/13/2017 19:00:10,Speed,,Keep up the good work. ,Yes. But we have had to meddle with overcoming Phalcon bugs.,,
3/13/2017 19:02:05,"Beacouse it's easy to learn, is fast, and you can create something big with less code.",,It's my favorite framework,Of course,,
3/13/2017 19:02:52,Performance / Easy to use,,,"Yes: websites, backoffice and REST API",HanXHX,
3/13/2017 19:10:55,Performance and flexible,,Soon lager production release,Yes,kim-dam-groenhoej,
3/13/2017 19:12:46,Performance,,,yes,,
3/13/2017 19:28:04,Fastest and easy-to-learn,,Congratulations ,Yes,,
3/13/2017 19:29:15,I am a masochist,,Suck it bitches,I never leave development,dschissler,
3/13/2017 19:35:13,Speed,,,such as big api. ,Assada,
3/13/2017 19:41:28,Speed,,With Phalcon comes great responsibility :),Yes,,
3/13/2017 19:42:30,speed,,,"no, still convincing management the move from Laravel is economically sensible",,
3/13/2017 19:42:36,"I was in need of a framework due to hitting the limits of frameworkless PHP in terms of performance for high amounts of traffic. Found laravel, but that thing felt insanely slow so I went with Phalcon & have loved it ever since due to being able to support 3,000+ requests per second.",,View's file structure needs a bit more documentation. I had to look up on stackoverflow to get the gist of it's file structure.,"I use it for a public API service which is geared towards Minecraft related projects, serves roughly 1.4 million unique users per month.",Yive,
3/13/2017 19:57:06,fast,,fully functional samples with 100% explanation for beginners,no,,
3/13/2017 19:58:47,Its simple and fast,,"Excellent work guys, I love you team","yes, Actually I have a app web app.chronosacademy.com , I am using multi module for frontend, admin and API",naaness but I usually use bitbucket for nestor.andres.a@gmail.com the work ,
3/13/2017 20:01:36,La razón principal es por su rendimiento y los componentes que ofrece y fácil de usar,,,"Si, ahora mismo tengo un software en producción que sistematiza las notas de un colegio",,
3/13/2017 20:15:12,"At the same time, Phalcon can work with large amounts of data, providing rich functionality and high performance in limited-resource systems, this is a big deal to me.  
With any extension, I can use in this system",,I only want the best for Phalcon command.,Yes. At the moment 90% of all projects are done on Phalcon,artdevue,
3/13/2017 20:25:26,"Because it is a complied framework and the performance is very important for me. Another reason also important is the framework have almost the same idea behind another framework that I was wrote some years ago, so that makes me feel comfortable",,Congrats for such great work!,Yes,gtux,
3/13/2017 20:31:49,Fast performance,,,Yes. Multiple deployments,Enajeeb,
3/13/2017 20:33:37,"I chose Phalcon, initially because it's compiled and had great performance.",,Keep up the good work,"Yes, I built an admin application that controls our deployment strategy. From one small server I can control our entire network (several cloud based server and databases). By using Phalcon and a little bit of zephir it allowed me to build an application that is fast and that is more efficient because it's compiled. ",slarek,
3/13/2017 20:58:32,Lightning fast but still easy to use,,,Not yet,,
3/13/2017 21:00:56,"fast , low resource usage easy to use and stable",,thanks you so much for the great php framework,"yes , i have use in my frontend , backend , api server ( 30,000 active users per day ) . ",xeleniumz,
3/13/2017 21:01:54,Because its simple and powerfull,,,Yee,Rajesh,
3/13/2017 21:02:40,"Performance, good mvc implementation, good github community",,"Sorry we cant help you guys more, keep up the good work.","Yes, we are a small company and choose phalcon has our only php framework, currently we are developing a lot of ideas around phalcon and in the process to try to make time available for our devs to help in the phalcon development.",rudiservo,
3/13/2017 21:10:48,Speed,,"Add full features look like laravel, big project orm important and needed",No ,MohammadReza10,
3/13/2017 21:29:07,"i was attractive with your introduction: ""it's fastest"". Before, i use ZF1",,You are best,"Yes, i use it for my website (polang.info) and many websites for my customer",gialang,
3/13/2017 22:05:33,Performance of c-extension,,,Yes we use for rest api ( Micro ) and web/mobile/admin projects ( Module ),,
3/13/2017 22:12:19,speed,,,yes,,
3/13/2017 22:13:29,Performance,,,Yes,Mamuz,
3/13/2017 22:35:09,Speed at the start then it was the community... I love you guys.,,Keep up the improvement of docs and tutorials,Not yet.,,
3/13/2017 22:39:47,Speed and easy implement,,Community group is small.,Yes,,
3/13/2017 23:01:35,"delivered as extension, simplicity",,Better documentation,"not yet, but soon",cyberhck,
3/14/2017 0:11:50,"I like how it is decoupled, I can use the parts I want and ignore the parts I don't. oh and SPEED!",,"follow Uncle Bob's clean code rules .. your class and methods are to damn long!  Aside from that though, God bless you and thank you so much for the work you do! :)","Yes, for personal projects, also migrated the last company I worked for over to Phalcon, and I am working on migrating the company I work for now over to phalcon.",tempcke,
3/14/2017 1:07:24,The performance and in general a nice mvc,,,"Yes, for several systems",Loudcode,
3/14/2017 1:38:01,"I used to work with Zend, Laravel, CodeIngniter, Symfony, Yii. Once I tried Phalcon i immediately liked it, it reminds me of my own personal private framework that i made myself, i switched to Phalcon because it just works and prevents me from doing extra work for my clients. Upgrading my Zend to Zend2 applications was a pain in the ass, but I upgrade my application from Phalcon 1 to 2 and then to 3 so easily.",,Keep up the good work,"Yup, since 1.3.x, more than 10 project running",jturbide,
3/14/2017 1:52:51,"Speed, simplicity.",,,Yes.,,
3/14/2017 2:29:23,Because of a friend's recommendation and I loved how fast it is and the way the models are constructed. I am still exploring it.,,They did a great job and I would love to complete what I am learning now and start contributing,Yes. I developed an online application system for my university and for couple of organizations that needed multilingual web applications. It paid off.,jean thierry,
